metric_name,value,unit,year,category
Regenerative agriculture practices adoption,3.5,million acres,2024,Environmental
Share of renewable electricity in direct global operations,89.0,%,2024,Environmental
Renewable electricity consumption,3900.0,GWh,2024,Environmental
Scope 1 and 2 GHG emissions reduction (vs 2022 baseline),-18.0,%,2024,Environmental
Beverage portfolio volume with <= 100 Calories from added sugars per 12 oz. serving,67.0,%,2024,Social
Convenient foods portfolio volume with <= 1.3 mg of sodium per Calorie,77.0,%,2024,Social
Number of employees,319000.0,employees,2024,Social
Cumulative people provided with access to safe water,96.0,million people,2024,Social
On-farm GHG emissions net reduction from regenerative agriculture,1.6,million metric tons,2024,Environmental
Key ingredients sustainably sourced,66.0,%,2024,Environmental
Key ingredients in Engaged Tier for sustainable sourcing,1.0,%,2024,Environmental
Cumulative livelihoods with measurable improvements supported,185000.0,people,2024,Social
Share of renewable compressed natural gas (CNG) in North American foods fleet,80.0,%,2024,Environmental
Countries with 100% renewable electricity in operations,39.0,countries,2024,Environmental
Scope 3 Energy & Industry (E&I) GHG emissions reduction (vs 2022 baseline),-12.0,%,2024,Environmental
"Scope 3 Forest, Land and Agriculture (FLAG) GHG emissions reduction (vs 2022 baseline)",-7.0,%,2024,Environmental
Water replenished to local watersheds,24.0,billion liters,2024,Environmental
Water replenished in high-risk watersheds (company-owned facilities),75.0,%,2024,Environmental
Facilities that have fully adopted the Alliance for Water Stewardship (AWS) Standard,73.0,facilities,2024,Environmental
Facilities in the process of adopting the Alliance for Water Stewardship (AWS) Standard,28.0,facilities,2024,Environmental
Reduction in absolute tonnage of virgin plastic from non-renewable sources (vs 2021 baseline),-5.0,%,2024,Environmental
Recycled plastic content in primary plastic packaging (key markets),15.0,%,2024,Environmental
"Primary & secondary packaging in key markets designed to be reusable, recyclable, or compostable (RRC)",93.0,%,2024,Environmental
Employee volunteer hours,169000.0,hours,2024,Social
Employee learning hours,1.8,million hours,2024,Social
Organizational Health Survey Score,78.0,%,2024,Social
Employee engagement rate,80.0,%,2024,Social
Employee commitment rate,76.0,%,2024,Social
Gender pay equity gap,1.0,%,2024,Social
Company-owned manufacturing facilities certified to ISO 45001,54.0,%,2024,Social
Lost Time Incident Rate,0.49,"per 200,000 hours worked",2024,Social
People provided with access to safe water,4.4,million people,2024,Social
Cumulative people provided with access to nutritious food,62.0,million people,2024,Social
Meals delivered to children via Food for Good program (U.S.),2.6,million meals,2024,Social
Convenient foods portfolio volume with <= 1.1 g of saturated fat per 100 Calories,81.0,%,2024,Social
Convenient foods portfolio volume meeting or below category sodium targets,44.0,%,2024,Social
Portions of diverse ingredients delivered,69.0,billion portions,2024,Social
